,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,1.37,1.37,1.5,1.4,1.45,0.014,2.07,2.07,1.89,1.87,2,-0.023
Q3/2016,1.5,1.5,1.4,1.45,1.28,-0.061,1.89,1.89,1.87,2,2.2,0.106
Q1/2016,1.45,1.45,1.28,1.5,1.68,0.091,2,2,2.2,2.44,2.61,0.207
Q4/2015,1.28,1.28,1.5,1.68,2.13,0.273,2.2,2.2,2.44,2.61,2.66,0.155
Q3/2015,1.5,1.5,1.68,2.13,2.2,0.255,2.44,2.44,2.61,2.66,2.69,0.08
Q2/2015,1.68,1.68,2.13,2.2,2.37,0.214,2.61,2.61,2.66,2.69,2.67,0.021
Q1/2015,2.13,2.13,2.2,2.37,2.11,0.011,2.66,2.66,2.69,2.67,2.61,-0.017
Q4/2014,2.2,2.2,2.37,2.11,1.94,-0.104,2.69,2.69,2.67,2.61,2.66,-0.015
Q3/2014,2.37,2.37,2.11,1.94,1.79,-0.191,2.67,2.67,2.61,2.66,2.58,-0.022
Q2/2014,2.11,2.11,1.94,1.79,2.09,-0.021,2.61,2.61,2.66,2.58,2.56,-0.023
Q4/2013,1.79,1.79,2.09,2.33,2.69,0.294,2.58,2.58,2.56,2.57,2.52,-0.017
Q3/2013,2.09,2.09,2.33,2.69,2.59,0.186,2.56,2.56,2.57,2.52,2.58,0.001
Q2/2013,2.33,2.33,2.69,2.59,2.57,0.062,2.57,2.57,2.52,2.58,2.45,-0.03
Q1/2013,2.69,2.69,2.59,2.57,2.34,-0.107,2.52,2.52,2.58,2.45,2.52,-0.013
Q4/2012,2.59,2.59,2.57,2.34,2.38,-0.086,2.58,2.58,2.45,2.52,2.46,-0.029
Q3/2012,2.57,2.57,2.34,2.38,1.95,-0.182,2.45,2.45,2.52,2.46,2.45,-0.006
Q2/2012,2.34,2.34,2.38,1.95,1.95,-0.16,2.52,2.52,2.46,2.45,2.47,-0.016
Q1/2012,2.38,2.38,1.95,1.95,2.09,-0.087,2.46,2.46,2.45,2.47,2.34,-0.034
Q4/2016,0.91,0.91,0.94,0.87,1.06,0.038,1.48,1.48,1.47,1.28,1.2,-0.103
Q3/2016,0.94,0.94,0.87,1.06,0.98,0.031,1.47,1.47,1.28,1.2,1.27,-0.068
Q2/2016,0.87,0.87,1.06,0.98,1.02,0.037,1.28,1.28,1.2,1.27,1.37,0.034
Q1/2016,1.06,1.06,0.98,1.02,0.99,-0.017,1.2,1.2,1.27,1.37,1.56,0.118
Q4/2015,0.98,0.98,1.02,0.99,1.37,0.114,1.27,1.27,1.37,1.56,1.47,0.079
Q2/2015,0.99,0.99,1.37,1.42,1.56,0.176,1.56,1.56,1.47,1.52,1.72,0.053
Q1/2015,1.37,1.37,1.42,1.56,1.35,0.008,1.47,1.47,1.52,1.72,1.74,0.101
Q3/2014,1.56,1.56,1.35,1.27,1.16,-0.128,1.72,1.72,1.74,1.69,1.75,0.004
Q2/2014,1.35,1.35,1.27,1.16,1.41,0.007,1.74,1.74,1.69,1.75,1.35,-0.111
Q1/2014,1.27,1.27,1.16,1.41,1.48,0.088,1.69,1.69,1.75,1.35,1.42,-0.121
Q4/2013,1.16,1.16,1.41,1.48,1.94,0.241,1.75,1.75,1.35,1.42,1.5,-0.068
Q3/2013,1.41,1.41,1.48,1.94,1.91,0.196,1.35,1.35,1.42,1.5,1.49,0.05
Q2/2013,1.48,1.48,1.94,1.91,1.86,0.111,1.42,1.42,1.5,1.49,1.44,0.005
Q1/2013,1.94,1.94,1.91,1.86,1.32,-0.191,1.5,1.5,1.49,1.44,1.3,-0.065
Q4/2012,1.91,1.91,1.86,1.32,1.51,-0.174,1.49,1.49,1.44,1.3,1.17,-0.11
Q2/2012,1.32,1.32,1.51,1.33,1.41,0.009,1.3,1.3,1.17,1.22,1.5,0.065
Q1/2012,1.51,1.51,1.33,1.41,1.72,0.071,1.17,1.17,1.22,1.5,1.52,0.133
Q4/2016,1.59,1.59,1.57,1.47,1.56,-0.019,2.08,2.08,2.08,1.98,2,-0.034
Q3/2016,1.57,1.57,1.47,1.56,1.39,-0.045,2.08,2.08,1.98,2,2.15,0.023
Q2/2016,1.47,1.47,1.56,1.39,1.55,0.007,1.98,1.98,2,2.15,2.2,0.081
Q4/2015,1.39,1.39,1.55,1.78,2.12,0.242,2.15,2.15,2.2,2.42,2.56,0.145
Q3/2015,1.55,1.55,1.78,2.12,2.27,0.25,2.2,2.2,2.42,2.56,2.55,0.119
Q2/2015,1.78,1.78,2.12,2.27,2.35,0.186,2.42,2.42,2.56,2.55,2.65,0.068
Q1/2015,2.12,2.12,2.27,2.35,2.2,0.032,2.56,2.56,2.55,2.65,2.64,0.034
Q2/2014,2.2,2.2,2.17,2.07,2.2,-0.01,2.64,2.64,2.58,2.61,2.6,-0.009
Q1/2014,2.17,2.17,2.07,2.2,2.56,0.13,2.58,2.58,2.61,2.6,2.57,-0.004
Q4/2013,2.07,2.07,2.2,2.56,2.81,0.258,2.61,2.61,2.6,2.57,2.5,-0.036
Q3/2013,2.2,2.2,2.56,2.81,2.99,0.262,2.6,2.6,2.57,2.5,2.47,-0.046
Q2/2013,2.56,2.56,2.81,2.99,2.88,0.114,2.57,2.57,2.5,2.47,2.38,-0.06
Q1/2013,2.81,2.81,2.99,2.88,2.54,-0.092,2.5,2.5,2.47,2.38,2.49,-0.012
