,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,6.53,6.53,6.26,6.58,6.75,0.098,11.06,11.06,11.69,11.68,11.52,0.137
Q3/2016,6.26,6.26,6.58,6.75,7.03,0.248,11.69,11.69,11.68,11.52,11.49,-0.076
Q2/2016,6.58,6.58,6.75,7.03,6.09,-0.119,11.68,11.68,11.52,11.49,11.8,0.033
Q4/2015,7.03,7.03,6.09,6.22,6.52,-0.14,11.49,11.49,11.8,12.44,12.38,0.331
Q3/2015,6.09,6.09,6.22,6.52,6.07,0.024,11.8,11.8,12.44,12.38,12.16,0.102
Q2/2015,6.22,6.22,6.52,6.07,6.93,0.168,12.44,12.44,12.38,12.16,11.78,-0.22
Q1/2015,6.52,6.52,6.07,6.93,6.04,-0.058,12.38,12.38,12.16,11.78,12.24,-0.08
Q4/2014,6.07,6.07,6.93,6.04,5.06,-0.392,12.16,12.16,11.78,12.24,12.17,0.049
Q2/2014,6.04,6.04,5.06,4.69,5.21,-0.286,12.24,12.24,12.17,12.24,12.57,0.106
Q1/2014,5.06,5.06,4.69,5.21,6.23,0.403,12.17,12.17,12.24,12.57,13.52,0.438
Q4/2013,4.69,4.69,5.21,6.23,6.82,0.741,12.24,12.24,12.57,13.52,14.01,0.626
Q3/2013,5.21,5.21,6.23,6.82,4.95,-0.019,12.57,12.57,13.52,14.01,16.69,1.285
Q2/2013,6.23,6.23,6.82,4.95,4.96,-0.568,13.52,13.52,14.01,16.69,16.31,1.105
Q1/2013,6.82,6.82,4.95,4.96,4.45,-0.71,14.01,14.01,16.69,16.31,15.47,0.4
Q4/2012,4.95,4.95,4.96,4.45,4.19,-0.279,16.69,16.69,16.31,15.47,19.58,0.783
Q3/2012,4.96,4.96,4.45,4.19,4.18,-0.26,16.31,16.31,15.47,19.58,15.06,0.036
Q2/2012,4.45,4.45,4.19,4.18,3.43,-0.307,15.47,15.47,19.58,15.06,13.96,-0.905
Q1/2012,4.19,4.19,4.18,3.43,4.92,0.144,19.58,19.58,15.06,13.96,12.24,-2.312
Q4/2016,9.67,9.67,9.44,9.74,12.15,0.774,21.55,21.55,21.62,21,20.72,-0.311
Q3/2016,9.44,9.44,9.74,12.15,12.83,1.258,21.62,21.62,21,20.72,21.94,0.068
Q2/2016,9.74,9.74,12.15,12.83,13.37,1.157,21,21,20.72,21.94,22.61,0.605
Q4/2015,12.83,12.83,13.37,11.53,10.2,-0.973,21.94,21.94,22.61,22.43,20.78,-0.366
Q3/2015,13.37,13.37,11.53,10.2,10.07,-1.123,22.61,22.61,22.43,20.78,19.82,-1.002
Q1/2015,10.2,10.2,10.07,9.66,8.35,-0.596,20.78,20.78,19.82,19.75,19.5,-0.391
Q4/2014,10.07,10.07,9.66,8.35,7.32,-0.956,19.82,19.82,19.75,19.5,18.79,-0.334
Q3/2014,9.66,9.66,8.35,7.32,7.12,-0.865,19.75,19.75,19.5,18.79,19.9,-0.026
Q2/2014,8.35,8.35,7.32,7.12,6.79,-0.488,19.5,19.5,18.79,19.9,19.07,-0.018
Q1/2014,7.32,7.32,7.12,6.79,6.15,-0.384,18.79,18.79,19.9,19.07,23.3,1.27
Q4/2013,7.12,7.12,6.79,6.15,7.46,0.038,19.9,19.9,19.07,23.3,23.09,1.38
Q3/2013,6.79,6.79,6.15,7.46,6.7,0.104,19.07,19.07,23.3,23.09,23.89,1.425
Q2/2013,6.15,6.15,7.46,6.7,8.17,0.53,23.3,23.3,23.09,23.89,23.81,0.233
Q1/2013,7.46,7.46,6.7,8.17,7,0.009,23.09,23.09,23.89,23.81,18.59,-1.358
Q4/2012,6.7,6.7,8.17,7,5.8,-0.387,23.89,23.89,23.81,18.59,17.41,-2.466
Q3/2012,8.17,8.17,7,5.8,5.35,-0.966,23.81,23.81,18.59,17.41,20.19,-1.204
Q2/2012,7,7,5.8,5.35,4.54,-0.783,18.59,18.59,17.41,20.19,21.2,1.061
Q1/2012,5.8,5.8,5.35,4.54,4.29,-0.534,17.41,17.41,20.19,21.2,19.85,0.833
