,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,1.96,1.96,9.2,7.67,3.38,0.273,6.62,6.62,5.73,3.99,3.27,-1.179
Q3/2016,9.2,9.2,7.67,3.38,3.36,-2.181,5.73,5.73,3.99,3.27,9.67,1.11
Q2/2016,7.67,7.67,3.38,3.36,3.34,-1.301,3.99,3.99,3.27,9.67,9.64,2.335
Q1/2016,3.38,3.38,3.36,3.34,3.84,0.136,3.27,3.27,9.67,9.64,7.71,1.329
Q4/2015,3.36,3.36,3.34,3.84,3.85,0.197,9.67,9.67,9.64,7.71,6.72,-1.078
Q3/2015,3.34,3.34,3.84,3.85,4.47,0.34,9.64,9.64,7.71,6.72,6.58,-1.017
Q2/2015,3.84,3.84,3.85,4.47,4.93,0.389,7.71,7.71,6.72,6.58,6.55,-0.362
Q4/2014,4.47,4.47,4.93,4.92,5.28,0.242,6.58,6.58,6.55,7.37,8.57,0.679
Q3/2014,4.93,4.93,4.92,5.28,5.47,0.198,6.55,6.55,7.37,8.57,9.08,0.879
Q1/2014,5.28,5.28,5.47,4.98,5.59,0.044,8.57,8.57,9.08,9.48,9.92,0.445
Q4/2013,5.47,5.47,4.98,5.59,8.88,1.084,9.08,9.08,9.48,9.92,9.6,0.2
Q3/2013,4.98,4.98,5.59,8.88,7.48,1.079,9.48,9.48,9.92,9.6,10.12,0.16
Q2/2013,5.59,5.59,8.88,7.48,6.99,0.28,9.92,9.92,9.6,10.12,10.04,0.088
Q4/2012,7.48,7.48,6.99,4.87,5.21,-0.893,10.12,10.12,10.04,10.86,11.31,0.439
Q3/2012,6.99,6.99,4.87,5.21,3.87,-0.902,10.04,10.04,10.86,11.31,11.56,0.501
Q2/2012,4.87,4.87,5.21,3.87,2.75,-0.77,10.86,10.86,11.31,11.56,11.77,0.298
Q1/2012,5.21,5.21,3.87,2.75,2.57,-0.904,11.31,11.31,11.56,11.77,13,0.528
Q4/2016,13.69,13.69,14.86,10.94,11,-1.199,8.39,8.39,8.58,8.48,8.07,-0.106
Q3/2016,14.86,14.86,10.94,11,10.48,-1.308,8.58,8.58,8.48,8.07,7.77,-0.284
Q2/2016,10.94,10.94,11,10.48,14.17,0.917,8.48,8.48,8.07,7.77,7.81,-0.231
Q1/2016,11,11,10.48,14.17,12.17,0.72,8.07,8.07,7.77,7.81,7.75,-0.092
Q3/2015,14.17,14.17,12.17,11.96,13.53,-0.213,7.81,7.81,7.75,7.41,6.84,-0.325
Q2/2015,12.17,12.17,11.96,13.53,15.75,1.231,7.75,7.75,7.41,6.84,6.71,-0.369
Q1/2015,11.96,11.96,13.53,15.75,13.74,0.756,7.41,7.41,6.84,6.71,6.71,-0.223
Q4/2014,13.53,13.53,15.75,13.74,13.58,-0.186,6.84,6.84,6.71,6.71,8.47,0.489
Q3/2014,15.75,15.75,13.74,13.58,14.22,-0.475,6.71,6.71,6.71,8.47,8.4,0.683
Q2/2014,13.74,13.74,13.58,14.22,13.66,0.04,6.71,6.71,8.47,8.4,8.7,0.59
Q1/2014,13.58,13.58,14.22,13.66,11.64,-0.638,8.47,8.47,8.4,8.7,9.86,0.447
Q4/2013,14.22,14.22,13.66,11.64,15.54,0.194,8.4,8.4,8.7,9.86,21.53,4.055
Q3/2013,13.66,13.66,11.64,15.54,17.21,1.455,8.7,8.7,9.86,21.53,22,5.157
Q2/2013,11.64,11.64,15.54,17.21,15.01,1.178,9.86,9.86,21.53,22,21.97,3.68
Q1/2013,15.54,15.54,17.21,15.01,13.22,-0.916,21.53,21.53,22,21.97,22.65,0.333
Q4/2012,17.21,17.21,15.01,13.22,13.69,-1.235,22,22,21.97,22.65,21.06,-0.214
Q3/2012,15.01,15.01,13.22,13.69,11.72,-0.94,21.97,21.97,22.65,21.06,11.34,-3.348
Q2/2012,13.22,13.22,13.69,11.72,12.25,-0.488,22.65,22.65,21.06,11.34,11.87,-4.206
Q1/2012,13.69,13.69,11.72,12.25,10.01,-1.051,21.06,21.06,11.34,11.87,11.45,-2.83
Q3/2016,7.83,7.83,7.31,6.42,5.67,-0.737,11.87,11.87,11.45,10.91,10.87,-0.354
Q2/2016,7.31,7.31,6.42,5.67,5.53,-0.609,11.45,11.45,10.91,10.87,11.07,-0.118
Q1/2016,6.42,6.42,5.67,5.53,5.42,-0.314,10.91,10.91,10.87,11.07,11.1,0.077
Q4/2015,5.67,5.67,5.53,5.42,6.4,0.208,10.87,10.87,11.07,11.1,11.08,0.066
Q3/2015,5.53,5.53,5.42,6.4,6.85,0.494,11.07,11.07,11.1,11.08,11.51,0.13
Q2/2015,5.42,5.42,6.4,6.85,8.09,0.846,11.1,11.1,11.08,11.51,11.8,0.253
Q1/2015,6.4,6.4,6.85,8.09,7.87,0.565,11.08,11.08,11.51,11.8,12.7,0.515
Q4/2014,6.85,6.85,8.09,7.87,7.35,0.128,11.51,11.51,11.8,12.7,12.94,0.519
Q2/2014,7.87,7.87,7.35,7.51,8.94,0.337,12.7,12.7,12.94,13.39,13.96,0.423
Q1/2014,7.35,7.35,7.51,8.94,8.9,0.608,12.94,12.94,13.39,13.96,15.36,0.783
Q4/2013,7.51,7.51,8.94,8.9,12.22,1.409,13.39,13.39,13.96,15.36,15.08,0.647
Q3/2013,8.94,8.94,8.9,12.22,9.74,0.572,13.96,13.96,15.36,15.08,15.61,0.467
Q2/2013,8.9,8.9,12.22,9.74,9.06,-0.2,15.36,15.36,15.08,15.61,15.99,0.242
Q1/2013,12.22,12.22,9.74,9.06,8.46,-1.196,15.08,15.08,15.61,15.99,16.45,0.449
Q4/2012,9.74,9.74,9.06,8.46,9.99,0.015,15.61,15.61,15.99,16.45,16.24,0.235
Q3/2012,9.06,9.06,8.46,9.99,8.56,0.003,15.99,15.99,16.45,16.24,16.34,0.084
Q2/2012,8.46,8.46,9.99,8.56,6.75,-0.656,16.45,16.45,16.24,16.34,16.32,-0.029
Q1/2012,9.99,9.99,8.56,6.75,6.29,-1.291,16.24,16.24,16.34,16.32,16.1,-0.044
Q3/2016,4.95,4.95,5.32,4.15,3.8,-0.462,13.53,13.53,13.33,12.63,12.05,-0.514
Q2/2016,5.32,5.32,4.15,3.8,3.43,-0.602,13.33,13.33,12.63,12.05,12.74,-0.235
Q1/2016,4.15,4.15,3.8,3.43,3.86,-0.124,12.63,12.63,12.05,12.74,13.15,0.225
Q4/2015,3.8,3.8,3.43,3.86,4.3,0.193,12.05,12.05,12.74,13.15,13.11,0.359
Q3/2015,3.43,3.43,3.86,4.3,4.28,0.299,12.74,12.74,13.15,13.11,12.58,-0.052
Q2/2015,3.86,3.86,4.3,4.28,5.18,0.394,13.15,13.15,13.11,12.58,13.84,0.154
Q1/2015,4.3,4.3,4.28,5.18,5.33,0.399,13.11,13.11,12.58,13.84,14.75,0.618
Q4/2014,4.28,4.28,5.18,5.33,5.17,0.282,12.58,12.58,13.84,14.75,14.65,0.712
Q3/2014,5.18,5.18,5.33,5.17,4.95,-0.085,13.84,13.84,14.75,14.65,15.03,0.347
Q2/2014,5.33,5.33,5.17,4.95,5.1,-0.091,14.75,14.75,14.65,15.03,17.77,0.944
Q1/2014,5.17,5.17,4.95,5.1,6.22,0.33,14.65,14.65,15.03,17.77,17.86,1.237
Q4/2013,4.95,4.95,5.1,6.22,8.33,1.126,15.03,15.03,17.77,17.86,17.45,0.735
Q2/2013,6.22,6.22,8.33,7.82,7.94,0.465,17.86,17.86,17.45,18.08,18.1,0.135
Q1/2013,8.33,8.33,7.82,7.94,7.4,-0.267,17.45,17.45,18.08,18.1,18.89,0.434
