,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,3.36,3.36,3.42,2.69,3.55,-0.016,12.75,12.75,13.7,15.44,15.85,1.104
Q3/2016,3.42,3.42,2.69,3.55,3.29,0.047,13.7,13.7,15.44,15.85,17.17,1.082
Q1/2016,3.55,3.55,3.29,4.11,4.6,0.397,15.85,15.85,17.17,15.65,17.44,0.325
Q4/2015,3.29,3.29,4.11,4.6,3.4,0.082,17.17,17.17,15.65,17.44,16.11,-0.139
Q3/2015,4.11,4.11,4.6,3.4,3.32,-0.357,15.65,15.65,17.44,16.11,16.29,0.059
Q2/2015,4.6,4.6,3.4,3.32,3.11,-0.455,17.44,17.44,16.11,16.29,16.51,-0.261
Q1/2015,3.4,3.4,3.32,3.11,3.34,-0.039,16.11,16.11,16.29,16.51,16.61,0.172
Q4/2014,3.32,3.32,3.11,3.34,2.91,-0.1,16.29,16.29,16.51,16.61,16.18,-0.023
Q3/2014,3.11,3.11,3.34,2.91,2.8,-0.136,16.51,16.51,16.61,16.18,15.86,-0.238
Q2/2014,3.34,3.34,2.91,2.8,2.78,-0.179,16.61,16.61,16.18,15.86,15.07,-0.494
Q1/2014,2.91,2.91,2.8,2.78,2.44,-0.143,16.18,16.18,15.86,15.07,17.35,0.272
Q4/2013,2.8,2.8,2.78,2.44,2.09,-0.247,15.86,15.86,15.07,17.35,15.66,0.168
Q3/2013,2.78,2.78,2.44,2.09,1.84,-0.317,15.07,15.07,17.35,15.66,14.14,-0.448
Q2/2013,2.44,2.44,2.09,1.84,1.62,-0.271,17.35,17.35,15.66,14.14,13.64,-1.265
Q1/2013,2.09,2.09,1.84,1.62,1.4,-0.229,15.66,15.66,14.14,13.64,10.49,-1.601
Q4/2012,1.84,1.84,1.62,1.4,1.63,-0.085,14.14,14.14,13.64,10.49,10.34,-1.455
Q3/2012,1.62,1.62,1.4,1.63,1.4,-0.043,13.64,13.64,10.49,10.34,10.14,-1.065
Q2/2012,1.4,1.4,1.63,1.4,1.29,-0.056,10.49,10.49,10.34,10.14,9.77,-0.236
