,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q3/2016,1.13,1.13,0.89,0.68,0.65,-0.165,2.33,2.33,2.62,2.72,3.09,0.238
Q2/2016,0.89,0.89,0.68,0.65,0.79,-0.033,2.62,2.62,2.72,3.09,3.4,0.271
Q4/2015,0.65,0.65,0.79,1.03,1.12,0.165,3.09,3.09,3.4,3.67,4.26,0.378
Q3/2015,0.79,0.79,1.03,1.12,0.93,0.051,3.4,3.4,3.67,4.26,5.34,0.641
Q2/2015,1.03,1.03,1.12,0.93,1.03,-0.019,3.67,3.67,4.26,5.34,6.12,0.843
Q1/2015,1.12,1.12,0.93,1.03,1.03,-0.017,4.26,4.26,5.34,6.12,6.41,0.723
Q4/2014,0.93,0.93,1.03,1.03,0.98,0.015,5.34,5.34,6.12,6.41,6.24,0.299
Q3/2014,1.03,1.03,1.03,0.98,1.14,0.028,6.12,6.12,6.41,6.24,5.42,-0.227
Q2/2014,1.03,1.03,0.98,1.14,0.98,0.001,6.41,6.41,6.24,5.42,5.94,-0.223
Q1/2014,0.98,0.98,1.14,0.98,0.79,-0.073,6.24,6.24,5.42,5.94,7.13,0.319
Q4/2013,1.14,1.14,0.98,0.79,1.32,0.035,5.42,5.42,5.94,7.13,9.19,1.25
Q3/2013,0.98,0.98,0.79,1.32,1.44,0.191,5.94,5.94,7.13,9.19,10.84,1.676
Q1/2013,1.32,1.32,1.44,1.36,1.57,0.067,9.19,9.19,10.84,12.79,14.11,1.671
Q4/2012,1.44,1.44,1.36,1.57,2.18,0.243,10.84,10.84,12.79,14.11,14.18,1.134
Q3/2012,1.36,1.36,1.57,2.18,2.11,0.286,12.79,12.79,14.11,14.18,17.82,1.516
Q2/2012,1.57,1.57,2.18,2.11,2.02,0.128,14.11,14.11,14.18,17.82,18.54,1.693
Q1/2012,2.18,2.18,2.11,2.02,2.87,0.198,14.18,14.18,17.82,18.54,26.85,3.873
