,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,2.62,2.62,2.75,2.74,2.71,0.026,15.49,15.49,15.18,14.71,14.64,-0.302
Q3/2016,2.75,2.75,2.74,2.71,2.84,0.024,15.18,15.18,14.71,14.64,14.12,-0.325
Q2/2016,2.74,2.74,2.71,2.84,2.86,0.049,14.71,14.71,14.64,14.12,13.52,-0.409
Q1/2016,2.71,2.71,2.84,2.86,3.5,0.239,14.64,14.64,14.12,13.52,12.82,-0.606
Q4/2015,2.84,2.84,2.86,3.5,3.47,0.253,14.12,14.12,13.52,12.82,11.18,-0.952
Q3/2015,2.86,2.86,3.5,3.47,3.2,0.099,13.52,13.52,12.82,11.18,10.86,-0.962
Q2/2015,3.5,3.5,3.47,3.2,3.21,-0.114,12.82,12.82,11.18,10.86,10.92,-0.602
Q1/2015,3.47,3.47,3.2,3.21,3.37,-0.029,11.18,11.18,10.86,10.92,11.71,0.165
Q4/2014,3.2,3.2,3.21,3.37,3.1,-0.014,10.86,10.86,10.92,11.71,12.17,0.472
Q3/2014,3.21,3.21,3.37,3.1,3.07,-0.069,10.92,10.92,11.71,12.17,12.16,0.418
Q1/2014,3.1,3.1,3.07,3.32,3.75,0.22,12.17,12.17,12.16,11.51,10.24,-0.644
Q4/2013,3.07,3.07,3.32,3.75,4.11,0.355,12.16,12.16,11.51,10.24,8.41,-1.252
Q2/2013,3.75,3.75,4.11,3.85,3.07,-0.23,10.24,10.24,8.41,7.71,6.76,-1.114
Q1/2013,4.11,4.11,3.85,3.07,2.86,-0.453,8.41,8.41,7.71,6.76,7.2,-0.458
Q4/2012,3.85,3.85,3.07,2.86,3.04,-0.264,7.71,7.71,6.76,7.2,8.25,0.206
Q3/2012,3.07,3.07,2.86,3.04,2.77,-0.072,6.76,6.76,7.2,8.25,10.16,1.125
Q2/2012,2.86,2.86,3.04,2.77,2.28,-0.201,7.2,7.2,8.25,10.16,16.8,3.071
Q1/2012,3.04,3.04,2.77,2.28,3.25,0.014,8.25,8.25,10.16,16.8,16.55,3.154
