,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,1.23,1.23,1.28,1.23,1.36,0.034,6.81,6.81,5.47,5.96,6.93,0.085
Q3/2016,1.28,1.28,1.23,1.36,1.17,-0.02,5.47,5.47,5.96,6.93,8.74,1.078
Q2/2016,1.23,1.23,1.36,1.17,1.03,-0.079,5.96,5.96,6.93,8.74,4.13,-0.368
Q1/2016,1.36,1.36,1.17,1.03,1.27,-0.041,6.93,6.93,8.74,4.13,2.18,-1.886
Q4/2015,1.17,1.17,1.03,1.27,1.29,0.06,8.74,8.74,4.13,2.18,-0.96,-3.105
Q3/2015,1.03,1.03,1.27,1.29,0.85,-0.052,4.13,4.13,2.18,-0.96,-3.76,-2.681
Q2/2015,1.27,1.27,1.29,0.85,0.95,-0.14,2.18,2.18,-0.96,-3.76,1.38,-0.52
Q1/2015,1.29,1.29,0.85,0.95,0.91,-0.104,-0.96,-0.96,-3.76,1.38,2.69,1.609
Q4/2014,0.85,0.85,0.95,0.91,0.93,0.02,-3.76,-3.76,1.38,2.69,2.51,2.012
Q3/2014,0.95,0.95,0.91,0.93,0.89,-0.016,1.38,1.38,2.69,2.51,2.18,0.222
Q2/2014,0.91,0.91,0.93,0.89,0.87,-0.016,2.69,2.69,2.51,2.18,1.11,-0.507
Q1/2014,0.93,0.93,0.89,0.87,0.88,-0.017,2.51,2.51,2.18,1.11,1.75,-0.335
Q3/2013,0.87,0.87,0.88,1.08,1.13,0.098,1.11,1.11,1.75,-0.52,0.23,-0.491
Q2/2013,0.88,0.88,1.08,1.13,1.21,0.104,1.75,1.75,-0.52,0.23,-1.09,-0.777
Q1/2013,1.08,1.08,1.13,1.21,0.95,-0.031,-0.52,-0.52,0.23,-1.09,-2.51,-0.729
Q4/2012,1.13,1.13,1.21,0.95,1.26,0.013,0.23,0.23,-1.09,-2.51,2.35,0.494
Q3/2012,1.21,1.21,0.95,1.26,1.07,-0.011,-1.09,-1.09,-2.51,2.35,4.74,2.235
Q2/2012,0.95,0.95,1.26,1.07,0.9,-0.034,-2.51,-2.51,2.35,4.74,7.96,3.38
Q1/2012,1.26,1.26,1.07,0.9,1.39,0.022,2.35,2.35,4.74,7.96,7.73,1.936
Q4/2016,1.87,1.87,1.58,1.68,1.38,-0.137,9.43,9.43,8.33,7.2,7.37,-0.731
Q2/2016,1.68,1.68,1.38,1.26,1.42,-0.09,7.2,7.2,7.37,5.96,5.37,-0.69
Q4/2015,1.26,1.26,1.42,1.88,1.7,0.178,5.96,5.96,5.37,5.35,3.51,-0.737
Q3/2015,1.42,1.42,1.88,1.7,1.65,0.051,5.37,5.37,5.35,3.51,3.61,-0.712
Q2/2015,1.88,1.88,1.7,1.65,2.02,0.037,5.35,5.35,3.51,3.61,4.04,-0.383
