,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,5.11,5.11,5.51,5.55,5.03,-0.02,11.24,11.24,11.23,10.81,10.65,-0.219
Q3/2016,5.51,5.51,5.55,5.03,4.79,-0.268,11.23,11.23,10.81,10.65,10.37,-0.274
Q2/2016,5.55,5.55,5.03,4.79,4.75,-0.264,10.81,10.81,10.65,10.37,10.46,-0.133
Q1/2016,5.03,5.03,4.79,4.75,4.94,-0.031,10.65,10.65,10.37,10.46,10.76,0.042
Q4/2015,4.79,4.79,4.75,4.94,4.68,-0.014,10.37,10.37,10.46,10.76,11.73,0.438
Q3/2015,4.75,4.75,4.94,4.68,5.21,0.112,10.46,10.46,10.76,11.73,11.39,0.376
Q2/2015,4.94,4.94,4.68,5.21,5.6,0.251,10.76,10.76,11.73,11.39,11.9,0.308
Q1/2015,4.68,4.68,5.21,5.6,5.8,0.375,11.73,11.73,11.39,11.9,11.47,-0.027
Q3/2014,5.6,5.6,5.8,5.83,5.34,-0.075,11.9,11.9,11.47,11.31,11.38,-0.172
Q2/2014,5.8,5.8,5.83,5.34,5.99,0.008,11.47,11.47,11.31,11.38,10.43,-0.305
Q1/2014,5.83,5.83,5.34,5.99,7.48,0.56,11.31,11.31,11.38,10.43,12.71,0.325
Q4/2013,5.34,5.34,5.99,7.48,8.12,0.983,11.38,11.38,10.43,12.71,12.58,0.588
Q3/2013,5.99,5.99,7.48,8.12,7.35,0.472,10.43,10.43,12.71,12.58,11.84,0.41
Q2/2013,7.48,7.48,8.12,7.35,6.11,-0.488,12.71,12.71,12.58,11.84,11.57,-0.416
Q1/2013,8.12,8.12,7.35,6.11,4.82,-1.114,12.58,12.58,11.84,11.57,8.17,-1.35
Q3/2012,6.11,6.11,4.82,5.02,4.26,-0.535,11.57,11.57,8.17,6.56,5.61,-1.949
Q2/2012,4.82,4.82,5.02,4.26,3.95,-0.337,8.17,8.17,6.56,5.61,4.29,-1.259
Q1/2012,5.02,5.02,4.26,3.95,3.34,-0.535,6.56,6.56,5.61,4.29,4.08,-0.876
Q4/2016,2.59,2.59,2.25,2.19,2.3,-0.093,11.1,11.1,14.58,13.96,12.33,0.307
Q2/2016,2.19,2.19,2.3,2.57,2.16,0.018,13.96,13.96,12.33,11.43,12.57,-0.507
Q1/2016,2.3,2.3,2.57,2.16,2.22,-0.065,12.33,12.33,11.43,12.57,12.86,0.273
Q4/2015,2.57,2.57,2.16,2.22,2.5,-0.015,11.43,11.43,12.57,12.86,14.02,0.806
Q3/2015,2.16,2.16,2.22,2.5,2.54,0.142,12.57,12.57,12.86,14.02,14.66,0.743
Q2/2015,2.22,2.22,2.5,2.54,2.85,0.193,12.86,12.86,14.02,14.66,11,-0.494
Q3/2014,2.85,2.85,2.82,2.87,2.8,-0.01,11,11,11.36,11.2,11.82,0.23
Q1/2014,2.87,2.87,2.8,3.3,3.45,0.224,11.2,11.2,11.82,12.11,12.04,0.281
Q4/2013,2.8,2.8,3.3,3.45,4.16,0.423,11.82,11.82,12.11,12.04,11.19,-0.196
Q3/2013,3.3,3.3,3.45,4.16,3.23,0.05,12.11,12.11,12.04,11.19,11.69,-0.211
Q1/2013,4.16,4.16,3.23,2.93,2.54,-0.516,11.19,11.19,11.69,10.99,9.82,-0.481
Q4/2012,3.23,3.23,2.93,2.54,2.35,-0.303,11.69,11.69,10.99,9.82,9.53,-0.765
Q3/2012,2.93,2.93,2.54,2.35,2.23,-0.229,10.99,10.99,9.82,9.53,12.54,0.436
Q2/2012,2.54,2.54,2.35,2.23,2.29,-0.087,9.82,9.82,9.53,12.54,12.97,1.246
Q1/2012,2.35,2.35,2.23,2.29,1.98,-0.105,9.53,9.53,12.54,12.97,13.21,1.147
