,,train
b,banpu,1
b,,1
b,,1
b,,1
b,,1
b,,1
b,,1
h,,0
s,,2
b,,1
s,,2
s,,2
b,,1
s,,2
b,,1
s,,2
s,,2
b,bts,1
b,,1
s,,2
b,,1
b,,1
b,,1
s,,2
b,,1
s,,2
h,,0
b,,1
b,,1
s,,2
b,,1
s,,2
b,,1
b,,1
h,,0
s,ea,2
b,,1
b,,1
h,,0
h,,0
h,,0
s,,2
s,,2
h,,0
h,,0
b,,1
b,,1
b,egco,1
h,,0
b,,1
b,,1
h,,0
h,,0
h,,0
s,,2
h,,0
b,,1
b,,1
b,,1
h,,0
s,,2
h,glow,0
h,,0
s,,2
s,,2
h,,0
h,,0
h,,0
b,,1
b,,1
b,,1
b,,1
s,,2
s,,2
h,,0
b,,1
b,,1
h,,0
h,ptt,0
s,,2
b,,1
h,,0
s,,2
b,,1
h,,0
s,,2
s,,2
h,,0
h,,0
h,,0
h,,0
s,,2
h,pttep,0
b,,1
h,,0
b,,1
b,,1
s,,2
s,,2
h,,0
h,,0
s,,2
h,,0
b,,1
s,,2
h,,0
s,,2
s,,2
h,,0
h,,0
h,,0
h,top,0
b,,1
s,,2
h,,0
b,,1
h,,0
b,,1
b,,1
s,,2
h,,0
s,,2
h,,0
s,,2
h,,0
h,,0
h,,0
b,,1
s,,2
