,,P/BVQ4,P/BVQ3,P/BVQ2,P/BVQ1,m(P/BV),,ROAQ4,ROAQ3,ROAQ2,ROAQ1,m(ROA)
Q4/2016,4.69,4.87,4.87,4.98,5.07,0.071,15.73,15.73,15.55,17.24,16.9,0.52
Q3/2016,4.87,4.98,4.98,5.07,4.55,-0.12,15.55,15.55,17.24,16.9,16.27,0.182
Q2/2016,4.98,5.07,5.07,4.55,3.91,-0.4,17.24,17.24,16.9,16.27,15.92,-0.459
Q1/2016,5.07,4.55,4.55,3.91,4.29,-0.142,16.9,16.9,16.27,15.92,13.25,-1.13
Q4/2015,4.55,3.91,3.91,4.29,3.97,0.056,16.27,16.27,15.92,13.25,12.15,-1.503
Q3/2015,3.91,4.29,4.29,3.97,4.15,-0.074,15.92,15.92,13.25,12.15,11.18,-1.532
Q2/2015,4.29,3.97,3.97,4.15,3.59,-0.096,13.25,13.25,12.15,11.18,11.15,-0.727
Q4/2014,4.15,3.59,3.59,3.07,2.91,-0.256,11.18,11.18,11.15,14.02,15.01,1.436
Q3/2014,3.59,3.07,3.07,2.91,2.47,-0.196,11.15,11.15,14.02,15.01,15.48,1.398
Q2/2014,3.07,2.91,2.91,2.47,3.12,0.019,14.02,14.02,15.01,15.48,15.31,0.434
Q1/2014,2.91,2.47,2.47,3.12,2.89,0.191,15.01,15.01,15.48,15.31,12.69,-0.713
Q4/2013,2.47,3.12,3.12,2.89,2.14,-0.317,15.48,15.48,15.31,12.69,10.96,-1.618
Q3/2013,3.12,2.89,2.89,2.14,1.79,-0.405,15.31,15.31,12.69,10.96,9.76,-1.838
Q2/2013,2.89,2.14,2.14,1.79,1.49,-0.23,12.69,12.69,10.96,9.76,8.12,-1.491
Q1/2013,2.14,1.79,1.79,1.49,1.13,-0.228,10.96,10.96,9.76,8.12,6.89,-1.385
Q3/2012,1.49,1.49,1.13,1.13,0.9,-0.177,8.12,8.12,6.89,6.26,4.81,-1.056
Q2/2012,1.13,1.13,1.13,0.9,0.75,-0.137,6.89,6.89,6.26,4.81,4.02,-1.006
Q1/2012,1.13,1.13,0.9,0.75,0.68,-0.15,6.26,6.26,4.81,4.02,3.47,-0.916
